date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Dec%202021%2021:46:55%20GMT	https://aulas-virtuales.cuaieed.unam.mx/images/AjaxLoader.gif	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/images/AjaxLoader.gif	(from https://aulas-virtuales.cuaieed.unam.mx/style.css)
15:46:55	7549380/7549380	---M--	200	added ('OK')	image/jpeg	etag:%227331c4-59d5ed98f200c%22	https://aulas-virtuales.cuaieed.unam.mx/css/img/student.jpg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/css/img/student.jpg	(from https://aulas-virtuales.cuaieed.unam.mx/css/estilos.css)
15:46:56	4912/4912	---M--	200	added ('OK')	image/svg+xml	etag:%221330-5a135fa7f7939%22	https://aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac_al.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/logos/logo_AV_ac_al.svg	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:56	527/527	---M-Z	200	added ('OK')	application/javascript	etag:%2220f-59d6009188529-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/script.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/script.js	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:57	294/294	---M-Z	200	added ('OK')	application/javascript	etag:%22126-59d487f1e7314-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/script_3.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/script_3.js	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:57	13282/13282	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f40-33e2%22	https://cdnjs.cloudflare.com/ajax/libs/paginationjs/2.1.5/pagination.min.js	C:/My%20Web%20Sites/AulaVirtual/cdnjs.cloudflare.com/ajax/libs/paginationjs/2.1.5/pagination.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:57	18101/18101	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed2-46b5%22	http://cdnjs.cloudflare.com/ajax/libs/list.js/1.5.0/list.min.js	C:/My%20Web%20Sites/AulaVirtual/cdnjs.cloudflare.com/ajax/libs/list.js/1.5.0/list.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:58	9779/9779	---M-Z	200	added ('OK')	application/javascript	etag:%222633-5c61c2ce6aa88-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/js/aulasalumnos_01072021.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/js/aulasalumnos_01072021.js	(from https://aulas-virtuales.cuaieed.unam.mx/alumnos.html)
15:46:59	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-1762a%22	https://code.jquery.com/jquery-latest.min.js	C:/My%20Web%20Sites/AulaVirtual/code.jquery.com/jquery-latest.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:46:59	228/228	---M-Z	200	added ('OK')	application/javascript	etag:%22e4-5a829e29da43c-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/js/freenbar.min.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/js/freenbar.min.js	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:46:59	579/579	---M-Z	200	added ('OK')	text/css	etag:%22243-5aef819a7d6ad-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/css/freenbar.min.css	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/css/freenbar.min.css	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:46:59	22297/22297	---M--	200	added ('OK')	image/svg+xml	etag:%225719-5a1b878b0cf70%22	https://aulas-virtuales.cuaieed.unam.mx/img/faq.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/faq.svg	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:47:00	31999/31999	---M--	200	added ('OK')	image/svg+xml	etag:%227cff-5cb7f463ac462%22	https://aulas-virtuales.cuaieed.unam.mx/img/slido.svg	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/img/slido.svg	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:47:00	76178/76178	---M-Z	200	added ('OK')	application/javascript	etag:%2212992-5d1f775924794-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/js/aulasvirtuales_29112021_ext_webex.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/js/aulasvirtuales_29112021_ext_webex.js	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:47:00	850/850	---MC-	200	added ('OK')	text/javascript	date:Fri,%2010%20Dec%202021%2021:47:00%20GMT	https://www.google.com/recaptcha/api.js?hl='es-419'	C:/My%20Web%20Sites/AulaVirtual/www.google.com/recaptcha/apibe9a.js	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
15:47:01	549/549	---M-Z	200	added ('OK')	application/javascript	etag:%22225-5affe476d71e2-gzip%22	https://aulas-virtuales.cuaieed.unam.mx/menulateral.js	C:/My%20Web%20Sites/AulaVirtual/aulas-virtuales.cuaieed.unam.mx/menulateral.js	(from https://aulas-virtuales.cuaieed.unam.mx/docentes.html)
